artifact_id,campaign_id,phase_id,acquisition_id,relative_path,artifact_role,media_type,byte_size,created_utc,modified_utc,producer,source_artifact_ids,immutable,notes
HF01-ART-0209,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r3_001_step_rise_1_pico.csv,raw_primary,text/csv,75353,2026-08-26T21:33:16.372256Z,2026-08-26T21:33:16.375258Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0210,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r3_001_step_rise_2_pico.csv,raw_primary,text/csv,75474,2026-08-26T21:33:20.710397Z,2026-08-26T21:33:20.719926Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0211,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r3_001_step_rise_3_pico.csv,raw_primary,text/csv,75026,2026-08-26T21:33:25.051802Z,2026-08-26T21:33:25.063767Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0212,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_r3_001_zero_baseline_pico.csv,raw_primary,text/csv,73193,2026-08-26T21:33:11.255262Z,2026-08-26T21:33:11.258456Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0362,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_v3_001_final_safe_idle.json,raw_primary,application/json,10860,2026-08-26T22:22:56.351553Z,2026-08-26T22:22:56.352885Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0363,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_v3_001_hf2_raw.csv,raw_primary,text/csv,3347069,2026-08-26T22:22:47.556588Z,2026-08-26T22:22:47.668316Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0364,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_v3_001_hf2_summary.csv,raw_primary,text/csv,659,2026-08-26T22:22:47.681676Z,2026-08-26T22:22:47.683365Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0365,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_v3_001_offset_1_pico.csv,raw_primary,text/csv,76683,2026-08-26T22:21:18.032456Z,2026-08-26T22:21:18.038500Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0366,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_v3_001_offset_2_pico.csv,raw_primary,text/csv,75114,2026-08-26T22:22:21.057242Z,2026-08-26T22:22:21.067113Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0367,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_v3_001_offset_3_pico.csv,raw_primary,text/csv,75031,2026-08-26T22:22:27.714998Z,2026-08-26T22:22:27.721524Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0368,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_v3_001_pre_safe_idle.json,raw_primary,application/json,10859,2026-08-26T22:20:51.089707Z,2026-08-26T22:20:51.092899Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0369,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_v3_001_status.json,raw_primary,application/json,23770,2026-08-26T22:20:45.091962Z,2026-08-26T22:22:56.356891Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0370,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_v3_001_step_fall_1_pico.csv,raw_primary,text/csv,74987,2026-08-26T22:21:07.250885Z,2026-08-26T22:21:07.260549Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0371,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_v3_001_step_fall_2_pico.csv,raw_primary,text/csv,74270,2026-08-26T22:21:11.615798Z,2026-08-26T22:21:11.620103Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0372,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_v3_001_step_fall_3_pico.csv,raw_primary,text/csv,74394,2026-08-26T22:21:15.923048Z,2026-08-26T22:21:15.927047Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0373,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_v3_001_step_rise_1_pico.csv,raw_primary,text/csv,77296,2026-08-26T22:21:05.018256Z,2026-08-26T22:21:05.026780Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0374,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_v3_001_step_rise_2_pico.csv,raw_primary,text/csv,77166,2026-08-26T22:21:09.383696Z,2026-08-26T22:21:09.391887Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0375,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_v3_001_step_rise_3_pico.csv,raw_primary,text/csv,77045,2026-08-26T22:21:13.721591Z,2026-08-26T22:21:13.727909Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
HF01-ART-0376,system_recalibration_001,HF-01,,readbacks/HF-01/raw/hf01_anchor_slow_v3_001_zero_baseline_pico.csv,raw_primary,text/csv,75441,2026-08-26T22:20:59.910343Z,2026-08-26T22:20:59.913791Z,HF-01 controlled execution,,true,Stable-ID provenance; no content hash or checksum is an operational gate
